minutes, ingredients
19151, 25, 9
469166, 35, 5
251638, 30, 11
138024, 45, 9
118639, 65, 10
393941, 65, 12
25569, 48, 9
237982, 15, 5
330667, 45, 16
352442, 10, 7
509998, 35, 12
33326, 20, 2
152606, 65, 6
127361, 35, 8
452943, 28, 16
269159, 50, 10
237868, 45, 13
451108, 60, 8
32005, 65, 16
344232, 35, 6
301313, 65, 13
376892, 65, 15
26839, 25, 10
495035, 65, 7
227641, 5, 12
208977, 15, 4
104458, 17, 5
510194, 30, 11
91270, 65, 8
217847, 5, 6
373251, 65, 21
47719, 65, 9
224211, 65, 6
240803, 20, 4
329058, 60, 10
14665, 6, 5
66459, 65, 15
490464, 30, 5
300763, 25, 8
292103, 53, 7
306404, 10, 8
27698, 65, 10
282938, 60, 15
219802, 2, 3
286696, 50, 8
437239, 45, 7
174445, 60, 12
80935, 65, 6
175068, 55, 5
275538, 40, 12
392948, 11, 6
293002, 15, 12
240682, 65, 12
358556, 10, 9
399595, 25, 8
385107, 40, 16
57697, 40, 8
31029, 35, 9
56549, 30, 11
395182, 50, 9
125246, 65, 7
148988, 60, 4
248020, 12, 7
134686, 65, 12
243991, 5, 2
225691, 20, 6
42567, 40, 13
20298, 50, 4
235409, 38, 9
174782, 35, 7
130417, 65, 7
371820, 52, 11
28947, 40, 4
4135, 60, 8
137748, 50, 7
33860, 55, 9
121653, 45, 8
432222, 65, 7
264101, 65, 11
170286, 65, 7
149108, 45, 5
250717, 45, 10
228579, 65, 11
430873, 40, 5
366725, 35, 7
63233, 5, 7
291038, 15, 8
224153, 15, 3
121899, 65, 7
366100, 45, 8
184141, 7, 7
70622, 50, 13
99339, 40, 5
353145, 5, 4
421169, 5, 10
289490, 30, 13
373477, 65, 14
205359, 40, 7
110090, 65, 12
363714, 20, 8
392905, 50, 8
124631, 65, 9
153481, 5, 3
83471, 35, 9
383929, 15, 15
277091, 40, 11
378749, 15, 10
502823, 15, 6
337587, 50, 14
105202, 30, 9
74387, 20, 8
31406, 60, 12
80127, 65, 12
239890, 40, 10
229658, 15, 9
370564, 65, 14
411417, 10, 6
71841, 15, 10
430199, 50, 16
213966, 30, 5
52873, 50, 9
165712, 65, 11
145371, 10, 5
24334, 65, 16
263573, 5, 3
30607, 35, 8
339742, 65, 10
81834, 65, 8
341289, 65, 7
151074, 65, 6
27752, 10, 8
30733, 25, 4
215639, 15, 7
291184, 65, 13
302772, 20, 10
147757, 55, 14
294386, 65, 11
307576, 30, 9
464901, 38, 8
61098, 65, 9
202090, 25, 5
3563, 65, 11
326936, 65, 8
443511, 40, 10
53526, 40, 18
78833, 4, 6
128150, 65, 16
369519, 65, 17
196225, 30, 11
322512, 65, 17
43824, 55, 8
490158, 65, 7
113508, 65, 16
221576, 30, 8
84810, 10, 8
92887, 20, 8
243661, 65, 12
234955, 65, 9
141955, 65, 13
51932, 65, 6
181004, 5, 3
362972, 65, 11
273161, 40, 5
384059, 65, 9
376175, 5, 8
114462, 65, 13
172243, 30, 12
4434, 35, 9
62996, 39, 9
34119, 65, 4
42428, 65, 11
271982, 18, 8
514895, 30, 5
266437, 15, 7
465221, 5, 4
75201, 65, 12
28672, 65, 10
464567, 12, 3
212572, 15, 6
260180, 65, 14
393626, 55, 5
202537, 18, 4
139277, 65, 11
117687, 20, 6
161096, 60, 15
231205, 60, 13
121730, 30, 15
482237, 15, 8
480044, 65, 9
151699, 60, 9
138194, 65, 8
59289, 45, 9
10962, 20, 9
400157, 5, 4
510550, 35, 9
425466, 5, 11
409163, 35, 8
238377, 65, 11
188630, 65, 16
194686, 60, 8
433985, 55, 7
34323, 50, 17
52187, 65, 10
275224, 40, 8
460935, 20, 10
136634, 35, 15
504731, 45, 6
42176, 30, 7
56901, 15, 11
13204, 65, 6
188571, 65, 10
164800, 65, 7
224573, 35, 3
158768, 65, 14
11400, 60, 9
59363, 35, 7
174322, 65, 14
58937, 26, 10
125534, 22, 11
41706, 15, 9
267684, 65, 8
180979, 45, 9
216131, 65, 12
141185, 45, 2
490449, 50, 11
81498, 50, 11
205060, 25, 9
228058, 25, 15
49135, 25, 8
310322, 27, 12
327697, 27, 6
148538, 15, 5
232320, 35, 11
317431, 60, 8
86003, 50, 12
7615, 0, 14
215527, 65, 9
302412, 65, 7
302337, 60, 8
197854, 65, 16
53438, 60, 5
419241, 55, 8
504569, 43, 9
67117, 55, 11
69384, 55, 9
458679, 35, 9
401221, 65, 11
155442, 33, 4
485790, 8, 7
86988, 65, 18
40642, 30, 12
144174, 65, 11
18300, 10, 4
271082, 45, 4
123976, 50, 9
129865, 40, 6
198009, 65, 10
162022, 20, 5
111147, 45, 6
162130, 65, 10
93130, 65, 19
72220, 25, 6
28970, 35, 6
319778, 20, 8
328972, 65, 9
168785, 35, 9
69922, 40, 14
106928, 65, 6
461917, 30, 8
473150, 65, 11
59231, 5, 8
526118, 55, 10
407751, 55, 5
105838, 65, 11
370466, 35, 7
328336, 32, 12
204570, 5, 3
254003, 65, 17
372458, 40, 9
241362, 5, 4
384374, 50, 12
471325, 10, 7
439715, 65, 8
394825, 10, 6
395349, 35, 10
336980, 20, 9
260400, 65, 6
370879, 40, 10
37452, 9, 6
37212, 15, 4
481805, 65, 19
315470, 30, 10
371396, 25, 8
265735, 30, 4
262311, 40, 3
45374, 30, 9
64444, 30, 7
89991, 35, 6
47098, 65, 14
41014, 65, 10
13803, 55, 6
368489, 27, 8
125763, 25, 8
329127, 25, 8
486681, 40, 5
209669, 60, 6
334548, 32, 6
173320, 60, 15
391736, 22, 6
103536, 25, 11
368497, 10, 9
291136, 2, 3
334234, 20, 7
216460, 20, 8
259333, 65, 8
15526, 10, 7
336796, 15, 6
283409, 20, 9
504137, 65, 11
38466, 65, 13
281109, 15, 6
112406, 15, 6
28809, 65, 7
21860, 40, 9
52011, 35, 5
252613, 30, 5
16835, 45, 7
56040, 55, 9
151619, 25, 9
326579, 40, 15
460215, 30, 9
129761, 45, 10
445584, 65, 14
156454, 10, 4
3159, 0, 5
329869, 65, 6
316258, 50, 10
407147, 65, 18
473314, 14, 7
280709, 30, 12
135337, 60, 12
340077, 65, 13
321844, 6, 5
472948, 15, 5
363803, 65, 10
465058, 65, 11
483039, 35, 13
295004, 60, 8
430491, 65, 10
48525, 30, 6
460902, 60, 12
127074, 30, 5
250431, 25, 5
345145, 30, 10
194725, 65, 13
249452, 22, 9
192421, 20, 10
73215, 35, 5
298531, 60, 8
16572, 22, 11
454451, 55, 8
117116, 50, 5
377578, 65, 8
419147, 26, 10
157965, 65, 10
316521, 40, 8
504013, 65, 3
443705, 20, 8
34046, 25, 9
194464, 65, 10
635, 65, 12
10539, 55, 9
301629, 40, 11
362031, 5, 5
212096, 65, 6
334906, 18, 4
361017, 65, 14
200460, 20, 11
66902, 65, 13
164174, 55, 9
120413, 65, 6
224906, 3, 3
252985, 50, 12
15120, 25, 10
59852, 15, 6
208944, 50, 10
63528, 40, 11
383282, 30, 8
156584, 60, 17
107955, 15, 8
317899, 18, 11
369679, 2, 5
93426, 65, 10
91225, 50, 16
304711, 65, 13
505811, 15, 11
138521, 65, 9
191175, 15, 12
11886, 30, 8
56864, 20, 11
103405, 30, 9
18980, 55, 9
405032, 45, 14
187564, 65, 7
183727, 2, 3
100963, 25, 10
113615, 40, 8
426449, 10, 4
239766, 10, 25
399882, 65, 13
206125, 35, 10
373682, 65, 8
356767, 30, 7
65624, 60, 11
345595, 65, 14
276098, 4, 5
234494, 65, 3
28520, 65, 7
474118, 5, 6
392569, 50, 3
330702, 65, 13
8011, 0, 6
125438, 25, 7
37755, 65, 9
341909, 25, 10
332980, 27, 8
383688, 5, 4
187229, 65, 14
87093, 65, 12
404273, 65, 14
109974, 45, 7
458032, 10, 4
8826, 5, 3
24927, 40, 8
92959, 55, 16
261677, 10, 6
111066, 15, 6
276260, 15, 8
177341, 10, 7
445470, 35, 11
155917, 50, 6
252708, 65, 9
29932, 45, 5
19290, 10, 8
72442, 65, 14
253320, 23, 7
104705, 30, 12
291077, 65, 5
184956, 20, 6
297024, 65, 5
78207, 15, 5
196079, 65, 13
362821, 65, 9
78878, 21, 7
131096, 65, 10
251442, 65, 10
19827, 15, 5
527687, 10, 4
111787, 20, 10
222463, 18, 4
96642, 6, 7
26221, 45, 13
305567, 10, 8
80908, 65, 8
401849, 27, 10
339699, 20, 3
86188, 10, 7
306897, 21, 6
48878, 30, 3
46909, 10, 5
434078, 10, 8
169677, 65, 7
116806, 20, 14
214346, 65, 13
221465, 15, 8
188719, 2, 6
99085, 15, 5
384565, 30, 14
92554, 40, 10
456646, 15, 5
354544, 40, 18
404124, 65, 13
253331, 30, 11
159934, 55, 12
190438, 60, 12
265904, 5, 8
370121, 65, 13
53260, 12, 12
356754, 5, 4
4624, 65, 10
31514, 20, 15
63851, 10, 5
148569, 65, 4
163396, 65, 10
95431, 5, 8
468519, 10, 6
391697, 35, 16
61823, 65, 9
27370, 15, 8
43355, 65, 3
15566, 5, 9
99785, 30, 7
34828, 20, 7
49278, 40, 6
65125, 54, 5
450936, 10, 12
270594, 65, 10
122147, 30, 9
16814, 65, 7
112291, 20, 8
211290, 15, 6
400702, 37, 9
409069, 65, 15
165532, 55, 10
40765, 40, 8
455118, 5, 5
221446, 20, 9
435567, 65, 20
223548, 25, 18
63289, 10, 14
32009, 65, 10
320581, 30, 11
78401, 65, 15
288622, 65, 9
108948, 25, 12
113321, 5, 6
151041, 35, 11
361309, 30, 9
80388, 10, 13
27425, 30, 7
63890, 10, 6
53905, 65, 14
427575, 50, 4
75776, 35, 11
94603, 45, 10
175593, 25, 12
460246, 30, 13
128504, 35, 17
230765, 65, 8
449306, 65, 12
198500, 60, 13
480338, 55, 19
130081, 55, 8
426573, 30, 7
126013, 30, 6
65531, 23, 14
507247, 40, 5
206766, 15, 8
347218, 65, 16
447538, 50, 10
389830, 30, 8
60842, 25, 6
385484, 45, 7
116728, 65, 10
356157, 45, 13
321497, 10, 6
45543, 65, 11
388147, 50, 6
39433, 45, 8
291819, 15, 9
218852, 23, 9
25075, 65, 10
383530, 16, 9
163760, 65, 7
252942, 10, 9
209478, 35, 6
389128, 65, 10
364374, 5, 4
372637, 65, 7
191478, 20, 10
163258, 45, 14
57114, 50, 8
226365, 65, 9
124056, 65, 7
457205, 35, 11
113683, 20, 9
262140, 30, 13
64716, 15, 5
226986, 10, 8
223277, 15, 6
91303, 65, 7
186210, 65, 13
91182, 65, 4
375428, 40, 11
47359, 15, 5
106213, 60, 13
149543, 40, 10
196001, 49, 19
43156, 45, 16
410519, 40, 13
225243, 55, 15
390700, 11, 7
247451, 5, 9
14760, 40, 10
57612, 25, 6
69236, 65, 5
275612, 45, 7
486098, 65, 14
47250, 26, 11
162363, 65, 18
194327, 10, 4
432825, 20, 13
144161, 65, 4
98168, 65, 13
327846, 32, 5
532738, 5, 8
243824, 45, 7
457368, 30, 17
48851, 25, 6
312362, 65, 6
320469, 65, 7
357497, 62, 9
241722, 65, 6
517161, 50, 7
366525, 20, 8
248901, 37, 14
124349, 25, 4
436443, 25, 10
426631, 65, 12
229966, 30, 5
295666, 45, 7
221522, 65, 14
164616, 25, 8
338911, 40, 10
486161, 60, 22
326915, 20, 5
499587, 65, 13
243403, 40, 16
59540, 65, 10
186144, 45, 10
297177, 15, 17
187179, 17, 8
74312, 65, 9
335136, 20, 4
285149, 35, 5
121272, 10, 14
230311, 65, 12
23398, 65, 11
62793, 45, 9
275996, 5, 6
191416, 20, 6
54853, 20, 4
330012, 5, 10
298099, 40, 12
32826, 3, 3
247404, 60, 10
149322, 65, 8
235004, 65, 10
15522, 45, 9
42924, 18, 8
490613, 15, 9
106190, 35, 7
274747, 55, 11
219705, 3, 3
427232, 20, 10
63902, 40, 10
439572, 25, 5
25996, 30, 8
454215, 40, 8
474940, 15, 4
253037, 5, 4
206745, 65, 18
77808, 65, 10
118781, 35, 10
310665, 65, 17
382410, 30, 19
44923, 60, 17
315373, 65, 19
423745, 40, 7
137889, 55, 6
190863, 30, 13
116769, 45, 12
209483, 25, 6
358135, 40, 5
65903, 10, 7
69846, 65, 8
305388, 30, 12
390645, 65, 12
244329, 45, 11
79056, 18, 6
292084, 65, 14
63185, 65, 11
330783, 20, 9
141338, 45, 6
77266, 65, 4
417235, 20, 7
111359, 60, 8
117761, 30, 10
233867, 25, 3
397857, 65, 9
20052, 40, 10
322742, 65, 14
336528, 65, 14
159286, 45, 10
5200, 65, 7
30533, 65, 10
263515, 50, 10
200556, 60, 11
494439, 25, 6
178251, 25, 16
140762, 15, 14
418076, 65, 12
144431, 30, 12
150490, 35, 6
526362, 65, 5
231579, 28, 7
201180, 40, 9
4929, 30, 4
482738, 65, 6
408402, 65, 6
54120, 65, 9
64538, 20, 5
109890, 6, 5
188229, 30, 5
16061, 45, 8
74171, 65, 8
225310, 20, 10
305199, 10, 5
135112, 50, 9
215927, 60, 18
311632, 40, 13
169920, 21, 4
243955, 30, 23
134945, 60, 8
90328, 65, 8
123415, 35, 5
173003, 20, 11
65511, 65, 7
278849, 30, 11
349556, 55, 20
271060, 34, 9
239264, 25, 8
130315, 25, 10
90619, 23, 9
197843, 17, 7
63675, 55, 7
209897, 65, 8
126385, 52, 8
214925, 25, 14
124346, 20, 12
345235, 60, 6
387424, 65, 19
102491, 35, 6
216116, 45, 16
273202, 33, 11
379846, 19, 8
26962, 65, 7
92247, 23, 8
198149, 17, 6
186273, 65, 8
81120, 65, 15
195832, 65, 13
142502, 40, 12
313312, 30, 8
27599, 65, 15
415576, 15, 6
408385, 20, 18
291998, 15, 5
121887, 25, 7
117484, 35, 13
294152, 65, 14
129284, 65, 4
316580, 40, 9
366673, 15, 11
101358, 65, 7
240093, 15, 9
122199, 65, 12
344615, 20, 8
43042, 65, 9
119424, 65, 9
306000, 55, 8
210279, 65, 10
245607, 5, 4
114086, 30, 8
228618, 50, 4
366059, 47, 7
256456, 11, 5
34110, 35, 6
359253, 45, 4
149400, 65, 8
12587, 25, 9
2610, 0, 10
418850, 5, 8
335891, 65, 15
426727, 25, 9
31669, 10, 9
294164, 60, 12
121610, 30, 8
527352, 30, 13
353426, 5, 5
334744, 65, 4
3980, 0, 10
87183, 7, 4
279741, 30, 7
216900, 6, 8
388224, 65, 11
109447, 30, 5
41456, 15, 5
292113, 10, 5
234243, 65, 7
357926, 40, 6
4042, 65, 14
117529, 45, 4
345388, 35, 8
284593, 30, 9
259343, 40, 11
343435, 15, 8
11113, 65, 7
174725, 2, 5
29545, 20, 12
77907, 40, 10
196975, 30, 2
226578, 55, 7
23112, 10, 9
82198, 65, 15
262938, 20, 14
172089, 65, 7
40654, 45, 7
445858, 60, 7
112405, 55, 10
485077, 35, 9
169180, 5, 4
254827, 50, 9
196143, 35, 12
107825, 65, 9
15154, 30, 9
229577, 45, 13
57454, 15, 5
188501, 50, 6
173946, 15, 9
16596, 65, 3
286184, 30, 9
310302, 60, 24
58605, 42, 8
61287, 8, 6
41333, 10, 8
197003, 35, 8
37746, 25, 10
429726, 17, 9
24044, 65, 8
206236, 50, 11
26159, 55, 7
274544, 65, 11
195144, 18, 7
236091, 60, 7
349087, 25, 9
251127, 2, 3
403191, 35, 10
186797, 55, 9
288544, 45, 16
18726, 65, 14
483216, 40, 13
324638, 55, 6
360701, 60, 12
388369, 25, 3
300119, 50, 11
176626, 35, 9
485430, 10, 4
191326, 65, 9
120029, 37, 7
117706, 40, 11
388617, 65, 13
344622, 40, 15
411481, 20, 8
21798, 65, 6
116253, 20, 7
150711, 65, 4
429526, 60, 10
83162, 65, 4
458062, 30, 5
47567, 65, 10
141970, 60, 16
467405, 45, 11
204932, 60, 9
235024, 65, 18
65056, 65, 7
106106, 65, 9
177957, 65, 11
370097, 45, 11
96117, 65, 7
58741, 65, 14
303542, 65, 11
297206, 50, 9
283186, 10, 4
97939, 65, 5
326639, 4, 2
64105, 60, 10
77670, 65, 5
285055, 35, 10
258906, 55, 8
7757, 5, 13
147810, 30, 10
390924, 65, 14
112970, 15, 6
361222, 15, 7
24261, 65, 10
56869, 7, 8
210993, 65, 14
172372, 15, 7
191194, 65, 14
216089, 40, 12
82109, 45, 8
253245, 1, 2
110088, 30, 10
203032, 45, 9
60557, 40, 8
426044, 65, 17
173193, 25, 8
423028, 30, 12
104172, 65, 9
84708, 65, 13
378445, 20, 11
123181, 65, 9
208015, 65, 9
108036, 65, 13
382187, 65, 10
42359, 15, 6
471443, 55, 18
60464, 5, 4
442839, 65, 7
104737, 65, 12
242669, 40, 9
180346, 5, 5
497309, 21, 9
73940, 65, 8
167766, 10, 9
44738, 25, 11
134512, 35, 10
69240, 22, 8
233742, 10, 12
31762, 65, 10
17093, 65, 15
199113, 65, 7
373470, 5, 7
209299, 10, 9
111412, 40, 8
250232, 50, 4
109756, 40, 8
425381, 25, 7
47824, 65, 8
361825, 30, 11
90442, 15, 10
28699, 65, 14
52319, 35, 6
307502, 45, 13
26486, 20, 9
529119, 65, 16
188954, 30, 12
297856, 35, 5
226234, 20, 6
178377, 40, 12
47224, 27, 8
35597, 65, 13
181102, 16, 11
371668, 30, 10
3187, 65, 14
30676, 20, 5
223650, 20, 9
130564, 55, 8
106529, 35, 6
138963, 30, 17
480558, 65, 3
232770, 5, 6
211621, 50, 11
171872, 65, 6
370775, 23, 15
59851, 65, 15
52992, 10, 6
346604, 65, 13
22006, 65, 16
42340, 40, 10
175347, 20, 7
11509, 15, 12
109240, 65, 6
213550, 65, 7
435662, 35, 8
168825, 30, 8
123799, 40, 12
338706, 30, 11
415387, 19, 7
66084, 45, 9
43563, 35, 8
198612, 35, 6
448343, 55, 9
50276, 20, 12
371070, 50, 9
372569, 40, 9
159558, 55, 11
292834, 2, 4
403741, 50, 14
389534, 50, 6
235662, 12, 7
260064, 10, 9
249718, 15, 4
72021, 65, 8
251738, 65, 9
373558, 50, 10
309304, 2, 4
396626, 45, 8
330342, 35, 10
21831, 26, 10
29342, 35, 16
42751, 30, 11
14166, 65, 7
58013, 10, 6
288351, 14, 5
350824, 65, 14
478115, 15, 8
156908, 30, 7
32860, 2, 7
374335, 2, 3
295681, 5, 7
336864, 65, 7
402282, 50, 11
135563, 40, 13
134747, 65, 9
439789, 65, 3
51228, 65, 17
277224, 35, 7
223601, 25, 6
158788, 10, 4
153284, 65, 9
24556, 25, 7
77692, 4, 5
196740, 25, 10
361733, 5, 4
55527, 50, 8
33738, 65, 12
123914, 40, 10
211624, 65, 3
332586, 20, 4
437120, 45, 11
198007, 65, 12
361604, 5, 2
19181, 45, 10
210236, 30, 5
302689, 5, 9
368590, 65, 9
182456, 55, 11
158643, 40, 12
117314, 60, 11
24552, 65, 11
185917, 20, 7
63474, 25, 14
113858, 65, 11
55133, 50, 7
198302, 30, 5
305787, 65, 11
373195, 65, 10
95930, 35, 14
41618, 40, 13
185174, 65, 5
261095, 5, 3
427773, 30, 10
106353, 5, 6
105492, 20, 13
255360, 40, 9
300774, 65, 7
376968, 57, 9
421541, 65, 12
299408, 60, 8
73205, 25, 14
149901, 5, 2
80330, 8, 6
18795, 65, 16
170220, 55, 9
148462, 33, 5
270571, 45, 8
321642, 23, 9
24729, 3, 4
151557, 65, 12
390443, 20, 10
222668, 5, 5
113342, 45, 12
65881, 65, 10
9438, 30, 7
83636, 65, 22
158660, 50, 4
324913, 40, 18
173312, 65, 12
92137, 65, 9
168901, 25, 7
392339, 35, 13
206732, 45, 10
357077, 28, 9
81687, 60, 10
42393, 15, 10
91279, 35, 9
327318, 40, 16
81238, 50, 18
51885, 25, 7
211515, 55, 12
254502, 55, 6
158977, 35, 8
53298, 40, 7
341954, 50, 7
206524, 5, 9
121796, 20, 6
339668, 35, 11
101803, 40, 13
214965, 45, 11
30995, 30, 9
429757, 15, 9
265801, 40, 11
342840, 65, 20
17905, 11, 9
214984, 60, 11
281489, 20, 10
45213, 10, 10
516562, 40, 6
367230, 25, 9
354119, 27, 19
437992, 65, 11
332264, 65, 12
72614, 55, 16
391614, 2, 4
10961, 30, 7
439200, 15, 5
349531, 35, 10
119119, 65, 11
447870, 65, 6
115124, 35, 10
254558, 65, 14
63517, 65, 8
235381, 15, 5
292093, 50, 7
67505, 5, 10
383425, 25, 9
260037, 65, 6
189444, 65, 10
768, 60, 12
292025, 10, 4
300434, 30, 18
99381, 45, 6
309131, 10, 11
501588, 23, 8
286771, 65, 14
213038, 30, 8
108962, 65, 11
129175, 40, 7
424835, 20, 8
357659, 27, 10
161440, 65, 6
424891, 30, 3
323592, 20, 6
59208, 65, 13
411471, 45, 14
314667, 65, 4
105323, 65, 13
193568, 30, 4
385217, 5, 8
12490, 65, 7
130633, 1, 5
103093, 65, 9
10526, 35, 7
19396, 20, 7
169141, 5, 4
140403, 15, 5
457915, 5, 8
67121, 30, 10
81771, 40, 10
165527, 25, 8
111940, 5, 10
172792, 17, 6
76655, 18, 6
390532, 17, 8
277767, 50, 9
389740, 65, 9
170691, 65, 17
85857, 30, 11
256308, 50, 6
99722, 65, 15
297095, 65, 13
26693, 25, 13
198537, 58, 5
151752, 30, 6
439669, 45, 17
202832, 20, 2
96802, 50, 9
96207, 65, 6
475782, 35, 13
426968, 20, 8
326215, 28, 12
75546, 65, 9
260220, 65, 5
107958, 35, 7
354212, 45, 11
354625, 30, 10
38961, 5, 6
125750, 15, 5
378269, 60, 11
374948, 65, 5
166033, 65, 12
487048, 35, 9
112299, 40, 13
153046, 65, 2
193377, 65, 8
494101, 6, 9
230228, 55, 6
350649, 65, 21
533821, 30, 8
40201, 30, 9
175441, 15, 10
148012, 45, 14
446684, 57, 6
142687, 20, 6
323850, 7, 5
312843, 15, 8
490307, 60, 14
211710, 65, 4
29368, 45, 13
278772, 33, 13
107267, 40, 12
314430, 5, 5
312930, 10, 4
329462, 60, 12
61227, 65, 11
341174, 15, 10
69672, 65, 11
260922, 5, 6
175371, 45, 3
77475, 42, 14
191353, 60, 8
120367, 65, 12
220656, 20, 15
26890, 65, 9
12395, 35, 7
278506, 65, 21
464050, 65, 3
403953, 40, 11
417806, 65, 8
391757, 65, 9
63704, 15, 9
426909, 25, 7
451490, 65, 8
325078, 65, 11
93586, 60, 20
140649, 40, 6
382315, 65, 11
366864, 28, 12
171970, 65, 10
107465, 5, 5
16209, 55, 12
459115, 55, 5
473491, 25, 10
309172, 35, 10
48613, 65, 16
4591, 0, 3
99799, 65, 6
370851, 65, 12
109061, 10, 7
130947, 12, 4
226580, 25, 10
379577, 10, 7
304872, 45, 10
109561, 5, 7
32256, 17, 6
227971, 30, 15
310480, 25, 9
296550, 25, 7
138482, 20, 8
267368, 60, 10
173220, 25, 8
461674, 65, 9
218119, 20, 21
182689, 45, 11
367635, 45, 13
54180, 15, 5
256932, 45, 14
314543, 65, 11
429619, 5, 5
282926, 35, 13
374731, 3, 3
139662, 65, 7
101761, 20, 9
338623, 15, 8
282081, 65, 11
143477, 22, 11
357470, 35, 10
89954, 50, 13
386332, 60, 4
255850, 65, 12
120714, 42, 10
266841, 25, 11
114981, 30, 7
150139, 65, 10
418479, 40, 5
111420, 12, 11
458186, 5, 4
108706, 40, 5
348591, 30, 8
374576, 20, 13
217186, 65, 13
188910, 5, 7
111162, 50, 7
204896, 40, 13
44157, 65, 3
45270, 20, 6
80721, 20, 5
230928, 35, 16
32242, 65, 12
318838, 10, 5
103776, 20, 5
277302, 35, 11
178089, 25, 9
171368, 22, 11
27263, 65, 7
116559, 65, 8
194709, 65, 8
377320, 65, 11
173280, 65, 12
90509, 25, 5
11682, 15, 6
129699, 65, 13
371885, 15, 16
306814, 10, 8
27092, 14, 5
375108, 20, 11
474619, 65, 17
305967, 20, 7
78172, 65, 15
401428, 65, 8
441575, 40, 14
296405, 10, 6
60374, 45, 11
69192, 35, 5
17549, 20, 3
186515, 65, 11
372540, 50, 6
394438, 2, 5
172926, 65, 13
292611, 40, 6
187637, 30, 10
120273, 35, 9
233059, 65, 13
122293, 65, 10
26513, 60, 12
225234, 25, 8
292587, 30, 6
383646, 30, 13
29691, 50, 14
270231, 45, 9
173596, 65, 18
16628, 25, 12
232390, 35, 10
191469, 35, 8
81078, 65, 11
22859, 2, 9
290897, 10, 3
16879, 60, 15
69441, 22, 6
469100, 60, 8
73744, 65, 10
67428, 40, 8
158053, 35, 6
278233, 20, 7
198445, 65, 7
398227, 65, 12
363071, 10, 8
210443, 20, 8
275888, 55, 13
302506, 65, 12
258520, 50, 9
161384, 30, 10
399466, 10, 5
366509, 42, 9
87421, 25, 11
33622, 65, 4
291145, 65, 16
293590, 13, 8
198367, 65, 9
337263, 65, 12
370734, 40, 13
217234, 35, 10
284621, 2, 4
248572, 2, 5
107603, 65, 10
301825, 30, 11
171859, 30, 10
116387, 20, 12
212442, 65, 6
150636, 10, 6
186156, 20, 7
476430, 45, 7
260086, 65, 9
395090, 40, 11
17679, 50, 7
283548, 65, 9
62199, 25, 5
82264, 8, 6
183326, 45, 10
200160, 65, 6
238849, 40, 3
214331, 65, 13
35367, 65, 9
14019, 65, 8
138951, 25, 8
84728, 18, 6
176181, 35, 14
334562, 65, 4
179796, 20, 9
9761, 65, 10
355369, 40, 12
188159, 2, 3
97197, 65, 12
287075, 15, 14
235438, 7, 6
102134, 65, 11
166226, 65, 8
194717, 26, 12
68755, 42, 9
1904, 10, 8
343591, 65, 6
332463, 25, 9
43901, 65, 11
342025, 45, 3
163766, 40, 10
210623, 5, 4
176376, 48, 11
110298, 16, 5
276903, 65, 9
36370, 65, 7
141828, 50, 10
174665, 65, 10
368566, 10, 11
483791, 35, 11
48025, 60, 10
335906, 65, 7
248671, 30, 13
207381, 55, 10
298034, 65, 12
67960, 60, 9
37843, 65, 5
93704, 5, 4
503733, 14, 12
253330, 50, 10
9296, 15, 5
364230, 25, 13
364043, 30, 9
245693, 65, 10
354695, 60, 4
46149, 30, 9
78200, 50, 8
88274, 20, 7
203017, 31, 9
416788, 65, 11
16042, 35, 9
7788, 65, 12
86893, 25, 5
70784, 20, 10
364160, 65, 12
144319, 22, 12
21746, 45, 7
166118, 20, 8
304974, 40, 13
102596, 65, 10
375702, 65, 9
290173, 10, 7
322574, 27, 7
259048, 65, 8
241310, 65, 13
228069, 65, 11
43221, 45, 8
23928, 27, 8
233282, 20, 9
304868, 65, 3
168116, 35, 4
80940, 65, 11
430254, 65, 9
304728, 20, 7
109448, 65, 7
318459, 60, 15
416412, 35, 10
267190, 20, 4
271937, 27, 10
8788, 65, 11
440645, 5, 6
128094, 65, 11
284015, 65, 7
67030, 15, 6
449715, 50, 15
48538, 30, 10
297494, 61, 10
338690, 5, 7
62722, 65, 9
253620, 30, 8
98636, 20, 10
94620, 2, 3
79772, 22, 9
191039, 50, 13
335747, 35, 7
294357, 45, 7
28541, 55, 13
220175, 10, 7
158761, 27, 4
3037, 0, 16
1399, 0, 10
370256, 10, 5
360607, 20, 5
197451, 55, 16
434444, 45, 9
55866, 20, 6
434027, 35, 7
129511, 65, 9
312677, 20, 7
302763, 30, 17
281232, 2, 2
217049, 55, 10
134012, 20, 7
148348, 65, 14
2770, 0, 4
226444, 18, 12
170956, 10, 9
32797, 3, 3
146561, 20, 9
81302, 45, 6
56787, 65, 5
253880, 60, 12
317212, 35, 12
62477, 50, 11
74995, 10, 5
401144, 65, 12
118057, 15, 4
397747, 55, 9
422048, 10, 5
78724, 65, 15
351748, 65, 10
317182, 65, 6
232694, 65, 4
137272, 45, 7
384276, 20, 10
203757, 40, 6
121879, 60, 12
38581, 50, 6
367807, 15, 8
357996, 30, 12
248273, 55, 7
196611, 40, 7
350359, 35, 11
386143, 40, 8
225812, 45, 6
41246, 65, 11
172356, 60, 10
28219, 65, 7
146517, 65, 7
64735, 14, 7
386899, 35, 13
225818, 19, 10
89353, 20, 6
463392, 40, 10
274614, 10, 7
167166, 15, 8
333555, 65, 30
433795, 20, 9
